filename,width,height,class,xmin,ymin,xmax,ymax
Green-Apple_018.jpg,800,600,green apple,109,471,311,600
Green-Apple_018.jpg,800,600,green apple,1,482,123,600
Green-Apple_018.jpg,800,600,green apple,312,458,490,600
Green-Apple_018.jpg,800,600,green apple,475,460,715,600
Green-Apple_018.jpg,800,600,green apple,696,445,800,599
Green-Apple_018.jpg,800,600,green apple,108,365,281,482
Green-Apple_018.jpg,800,600,green apple,16,446,157,491
Green-Apple_018.jpg,800,600,green apple,406,345,596,482
Green-Apple_018.jpg,800,600,green apple,108,240,284,376
Green-Apple_018.jpg,800,600,green apple,1,301,126,440
Green-Apple_018.jpg,800,600,green apple,246,312,423,447
Green-Apple_018.jpg,800,600,green apple,3,216,154,312
Green-Apple_018.jpg,800,600,green apple,181,141,348,262
Green-Apple_018.jpg,800,600,green apple,21,125,159,221
Green-Apple_018.jpg,800,600,green apple,571,422,697,501
Green-Apple_018.jpg,800,600,green apple,660,359,800,482
Green-Apple_018.jpg,800,600,green apple,557,266,767,399
Green-Apple_018.jpg,800,600,green apple,361,228,524,351
Green-Apple_018.jpg,800,600,green apple,514,222,656,339
Green-Apple_018.jpg,800,600,green apple,475,319,566,364
Green-Apple_018.jpg,800,600,green apple,315,246,381,321
Green-Apple_018.jpg,800,600,green apple,1,11,133,136
Green-Apple_018.jpg,800,600,green apple,82,56,259,177
Green-Apple_018.jpg,800,600,green apple,321,173,395,256
Green-Apple_018.jpg,800,600,green apple,402,180,526,261
Green-Apple_018.jpg,800,600,green apple,186,1,336,98
Green-Apple_018.jpg,800,600,green apple,266,52,423,183
Green-Apple_018.jpg,800,600,green apple,381,93,490,193
Green-Apple_018.jpg,800,600,green apple,481,106,646,228
Green-Apple_018.jpg,800,600,green apple,627,141,799,286
Green-Apple_018.jpg,800,600,green apple,329,1,472,75
Green-Apple_018.jpg,800,600,green apple,453,5,605,123
Green-Apple_018.jpg,800,600,green apple,628,46,796,162
Green-Apple_018.jpg,800,600,green apple,592,2,760,70
